0,REQ
1,REQ
2,PRE
3,PRE
4,VAL
5,REQ
6,SCO
7,EVW
8,CON
9,REQ
10,PRE
11,PRE
12,REQ
13,REQ
14,REQ
15,EVW
16,SCO
17,REQ
18,REQ
19,VAL
20,RIV
21,REQ
22,DEP
23,DEP
24,REQ
25,PRE
26,RIV
27,DEP
28,DEP
29,REQ
30,SCO
31,EVW
32,EVW
33,VAL
34,PRE
35,RIV
36,VAL
37,RIV
38,EVW
39,RIV
40,RIV
41,CON
42,EVW
43,DEP
44,RIV
45,PRE
46,REQ
47,DEP
48,RIV
49,EVW
50,VAL
51,SCO
52,PRE
53,EVW
54,VAL
55,REQ
56,SCO
57,VAL
58,VAL
59,REQ
60,REQ
61,DEP
62,VAL
63,EVW
64,REQ
65,EVW
66,REQ
67,RIV
68,VAL
69,SCO
70,DEP
71,RIV
72,VAL
73,DEP
74,EVW
75,SCO
76,SCO
77,RIV
78,SCO
79,DEP
80,PRE
81,CON
82,CON
83,DEP
84,VAL
85,EVW
86,VAL
87,RIV
88,DEP
89,REQ
90,REQ
91,SCO
92,REQ
93,EVW
94,VAL
95,DEP
96,RIV
97,RIV
98,VAL
99,REQ
